id,name,tool_qualification,official_url,official_url_classification,website_verified,github_repository_verified,logo_url,logo_classification,logo_verified,discovery_source,evidence_source_count,provenance_status,description_status,description_grounded,description_specificity,duplicate_status,category_status,final_status,issues
tool_8ff2b861cf4f58ee,nanobrowser,PASS,https://nanobrowser.ai,VALID_OFFICIAL_WEBSITE,True,True,https://nanobrowser.ai/og-image.jpg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_9c4d972cc4034652,ccstatusline,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/5c0d6514cc7673f7010beecfcc01af9f8efe41b76d4e31fc90342a26214b3f09/sirmalloc/ccstatusline,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_fe37e69165cb39d9,ChatGPT-Shortcut,PASS,https://aishort.top/en,VALID_OFFICIAL_WEBSITE,True,True,https://www.aishort.top/en/img/social-card.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_d08a330a85e233ab,steel-browser,PASS,https://steel.dev,VALID_OFFICIAL_WEBSITE,True,True,https://steel.dev/assets/framerusercontent.com/images/hzr6B16ZaxRs78SqFtTcvyAaQlQ.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_d7e17d8a9f4acacc,modly,REVIEW_REQUIRED,https://modly3d.app,VALID_OFFICIAL_WEBSITE,True,True,https://modly3d.app/app-screenshot.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,REVIEW_REQUIRED,ToolQual: Requires verification of tool functionality
tool_740d362d12f4908b,autoclip,PASS,https://zhouxiaoka.github.io/autoclip_intro,VALID_OFFICIAL_WEBSITE,True,True,https://zhouxiaoka.github.io/apple-touch-icon.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_f9a8f19eff136d6e,FunClip,PASS,https://huggingface.co/spaces/FunAudioLLM/FunClip,VALID_OFFICIAL_WEBSITE,True,True,https://cdn-thumbnails.huggingface.co/social-thumbnails/spaces/FunAudioLLM/FunClip.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_a7be506c8c90cf37,quotio,PASS,https://quotio.dev,VALID_OFFICIAL_WEBSITE,True,True,https://quotio.dev/logo.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_abe3fb74d529db6b,poster-design,REVIEW_REQUIRED,https://design.palxp.cn,VALID_OFFICIAL_WEBSITE,True,True,https://design.palxp.cn/favicon.svg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,REVIEW_REQUIRED,ToolQual: Requires verification of tool functionality
tool_76bdee9cf6429dcd,logfire,PASS,https://pydantic.dev/logfire,VALID_OFFICIAL_WEBSITE,True,True,https://pydantic.dev/logfire/opengraph-image.jpg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_9d15ee538baca472,judge0,PASS,https://judge0.com,VALID_OFFICIAL_WEBSITE,True,True,https://judge0.com/assets/cover-image/judge0-cover.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_f6dba713ec1614e4,claude-devtools,PASS,https://claude-dev.tools,VALID_OFFICIAL_WEBSITE,True,True,https://claude-dev.tools/opengraph-image?003cc826c15f19e1,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_2533134dbcce5d26,tutti,PASS,https://tutti.sh,VALID_OFFICIAL_WEBSITE,True,True,"https://tutti.sh/cdn-cgi/image/format=auto,quality=85/_static/official/img/social-share-card.webp",OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_efcd461b9ec40802,pinme,PASS,https://pinme.eth.limo,VALID_OFFICIAL_WEBSITE,True,True,https://pinme.eth.limo/pinme.jpg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_d10ac25ba2ebd643,anything-analyzer,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/e12b7302c1139a4c7f4e803ca1448426cd4273007ff1b6477cfd49233c58bac0/Mouseww/anything-analyzer,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_06b2795a2ecbeb54,llm-wiki-agent,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/d6d59ee54bf7eeff6cbf02a44f53e1cfe72c6209018fe8fdf212419878d4e0e4/SamurAIGPT/llm-wiki-agent,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_76837f17df506d8c,VulnClaw,PASS,https://unclecheng-li.github.io/vulnclaw.com,VALID_OFFICIAL_WEBSITE,True,True,https://unclecheng-li.github.io/assets/logo.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_0db13fe3eb3e0eb6,any-auto-register,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/927676d12ef04d84ba9b53d5df8e09630ec18bdee6c765719092deab0dce701a/lxf746/any-auto-register,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_c006703a2795d033,claude-tap,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/b492b3e5f90a05694023e1b9558bfaf77da548ef7823698e1518b0293d86cad7/liaohch3/claude-tap,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_d1179244828ac03d,open-terminal,PASS,https://openterminal.sh,VALID_OFFICIAL_WEBSITE,True,True,https://openterminal.sh/og-image.svg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_54d8589967f974ed,tuicr,PASS,https://tuicr.dev,VALID_OFFICIAL_WEBSITE,True,True,https://tuicr.dev/favicon.svg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_b46f91ff30a7904b,humanize-text,PASS,https://lynote.ai/ai-humanizer,VALID_OFFICIAL_WEBSITE,True,True,https://strapi.lynote.ai/uploads/lynote_ai_learning_platform_f44370a9db.jpg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_8e07d3b4f9d247e1,daily-arXiv-ai-enhanced,PASS,https://arxiv.dw-dengwei.cn,VALID_OFFICIAL_WEBSITE,True,True,https://arxiv.dw-dengwei.cn/assets/logo2-removebg-preview.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_439834253697f9a5,clawpanel,PASS,https://claw.qt.cool,VALID_OFFICIAL_WEBSITE,True,True,http://claw.qt.cool/static/img/logo-128.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_8a605eaed337460b,designer-skills,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/13c41c0c7fbe89c3d94fa1d5da62e8eaec3e06320d3a90285b77194c36e3a9d3/Owl-Listener/designer-skills,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_895e065ce1a04628,oh-my-hermes,PASS,https://rlaope.github.io/oh-my-hermes,VALID_OFFICIAL_WEBSITE,True,True,https://rlaope.github.io/oh-my-hermes/assets/omh-readme-hero.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_baf31e07d6442efa,Data-Analysis-Agent,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/75d40ceef5e758851b04f9820776209f69fab721e921575bd7a9ccd64af6494a/Zafer-Liu/Data-Analysis-Agent,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_b28d0519e53bc790,lanhu-mcp,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/1f310d97ab772deecce6b884b8398ce92818e48cff387043250bd46acf9671a9/dsphper/lanhu-mcp,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_fbe489a491455564,token-monitor,PASS,http://javis-ai.com/token-monitor,VALID_OFFICIAL_WEBSITE,True,True,http://javis-ai.com/assets/icon.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_4aecf048e2043752,open-cowork,PASS,,INVALID_OR_UNCLEAR,False,True,https://repository-images.githubusercontent.com/1133660268/27f092ca-8b76-4b02-b498-9c9f690cb1eb,THIRD_PARTY,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_a1d72d324e8bed44,stealth-browser-mcp,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/28dac5c3f03452e0664ba1275e790d1e32467d291901fbe4b0a8d34754ac44ce/vibheksoni/stealth-browser-mcp,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_4d65837a330174b0,LiveAgent,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/789fc97d29d1c9f98b3d840c885bf3253ab9f04b81d934e5c7ae16c3b1fd189f/Stack-Cairn/LiveAgent,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_e6a1d44516bb79ab,opc-skills,REVIEW_REQUIRED,https://opc.dev,VALID_OFFICIAL_WEBSITE,True,True,https://raw.githubusercontent.com/ReScienceLab/opc-skills/main/website/og-image.png,GITHUB_ASSET,False,GitHub API,2,PASS,VALID,True,MEDIUM,UNIQUE,PASS,REVIEW_REQUIRED,ToolQual: Requires verification of tool functionality; Desc: Concise (50 chars)
tool_77cd63df5117cf97,VoiceMem,PASS,,INVALID_OR_UNCLEAR,False,True,https://opengraph.githubassets.com/aea59b5034e924f035d60128807b5a4256021ee494aaea3ef1d19be0239a237f/xzf-thu/VoiceMem,SOCIAL_PREVIEW,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_0dc3e56862d12fef,Seal-Report,PASS,https://sealreport.org,VALID_OFFICIAL_WEBSITE,True,True,https://sealreport.org/images/favicon.ico,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,MEDIUM,UNIQUE,PASS,REVIEW_REQUIRED,Desc: Concise (65 chars)
tool_94084733ad02f739,TokenTracker,PASS,https://tokentracker.cc,VALID_OFFICIAL_WEBSITE,True,True,https://www.tokentracker.cc/dashboard-dark.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_a82857b86b7407ab,sprite-gen,PASS,,INVALID_OR_UNCLEAR,False,True,https://repository-images.githubusercontent.com/1236336437/c9af109c-9e85-4469-a563-aa871767c6a7,THIRD_PARTY,False,GitHub API,1,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_658cd13b99c68db3,gortex,PASS,https://gortex.dev,VALID_OFFICIAL_WEBSITE,True,True,https://gortex.dev/favicon.svg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
tool_cec4a984e9dac917,openilink-hub,REVIEW_REQUIRED,https://openilink.com,VALID_OFFICIAL_WEBSITE,True,True,https://openilink.com/og-image.png,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,REVIEW_REQUIRED,ToolQual: Requires verification of tool functionality
tool_a3aa192845560395,Atomic-Chat,PASS,https://atomic.chat,VALID_OFFICIAL_WEBSITE,True,True,https://cdn.prod.website-files.com/69d4e04c943eea1581f96f37/6a4c0cecf04f6540db797e37_opengraph.jpg,OFFICIAL_SITE_ASSET,True,GitHub API,2,PASS,VALID,True,HIGH,UNIQUE,PASS,READY,None
