record_id,name,provider,description,description_length,sentence_count,grounded,specificity,information_quality,marketing_flag,tautology_flag,unsupported_claim_flag,final_audit_status,reason
tool_8e07d3b4f9d247e1,daily-arXiv-ai-enhanced,Groq,"daily-arXiv-ai-enhanced automatically crawls arXiv papers each day, uses AI to summarize them, and presents the summaries on GitHub Pages.",138,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_439834253697f9a5,clawpanel,Groq,"clawpanel is an OpenClaw & Hermes Agent multi-engine AI management panel with a built-in AI assistant that supports tool calls, image recognition, and multimodal features; it is a Tauri v2 cross‑platform desktop application available in 11 languages.",250,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_8a605eaed337460b,designer-skills,Groq,"Designer Skills Collection: agentic skills, commands, and plugins for design — from research to systems, UI, interaction, and delivery.",135,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_895e065ce1a04628,oh-my-hermes,Groq,"All in one plugin for Hermes Agent, providing coding intelligence, a long-term memory system, and model optimized workflow packages.",132,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_baf31e07d6442efa,Data-Analysis-Agent,Groq,"The Data-Analysis-Agent is a personal data analysis assistant that lets users chat with their data to instantly generate visualizations and business insights, removing the need for complex SQL and Excel formulas.",212,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_b28d0519e53bc790,lanhu-mcp,Groq,The tool lanhu-mcp is a team collaboration MCP server designed for the AI programming era. It automatically analyzes requirements and writes front-end and back-end code.,169,2,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_fbe489a491455564,token-monitor,Groq,"The token-monitor is a local-first desktop widget for tracking token usage, costs, and limits across 37+ AI coding tools, including Claude Code, Codex, Cursor, OpenCode, and OpenClaw, with multi-device sync.",207,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_4aecf048e2043752,open-cowork,Groq,"Open-cowork is an open-source AI agent desktop app for Windows and macOS that provides one-click installation of Claude Code, MCP tools, and Skills, and includes sandbox isolation, multi-model support, and Feishu/Slack integration.",231,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_a1d72d324e8bed44,stealth-browser-mcp,Groq,"stealth-browser-mcp enables browser automation that bypasses anti-bot systems, using AI‑generated network hooks and pixel‑perfect UI cloning via simple chat.",157,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_4d65837a330174b0,LiveAgent,Groq,LiveAgent is a fully functional AI Agent desktop client that supports Webui access and can be creatively customized and expanded.,129,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_e6a1d44516bb79ab,opc-skills,Groq,opc-skills provides agent skills for solopreneurs.,50,1,True,LOW,LOW,False,False,False,PASS,"Grounded, concise, specific description."
tool_77cd63df5117cf97,VoiceMem,Groq,"Infrastructure for the next generation of voice agents, designed to provide universal memory. It is divided into a left brain and a right brain, storing information and emotions respectively.",191,2,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_0dc3e56862d12fef,Seal-Report,Groq,Seal-Report is a .Net database reporting tool and task framework.,65,2,True,MEDIUM,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_94084733ad02f739,TokenTracker,Groq,"TokenTracker is a local-first AI token usage and cost tracker for 31 coding tools, including Claude Code, Codex, Cursor, Gemini, and DeepSeek Harness, with native apps. It never reads prompts.",192,2,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_a82857b86b7407ab,sprite-gen,Groq,"The sprite-gen tool generates clean 2D game sprites and animation atlases using a component-row pipeline that includes state rows, alpha cleanup, frame extraction, and runtime atlases.",184,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_658cd13b99c68db3,gortex,Groq,"Gortex is a code‑intelligence engine for AI agents and IDEs that supports 257 languages and multiple repositories. It uses a graph‑based model, can be accessed via CLI, MCP Server, or API, and runs locally.",206,2,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_cec4a984e9dac917,openilink-hub,Groq,"openilink-hub is a self‑hosted WeChat bot management platform that includes an app marketplace and integrates with Lark, Slack, Discord, DingTalk, GitHub, Notion, and over 20 other apps, offering AI tools and SDKs for seven programming languages.",246,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
tool_a3aa192845560395,Atomic-Chat,Groq,Atomic-Chat is a local AI app and inference engine for agents that runs open-weight LLMs privately and 100% offline on a computer.,130,1,True,HIGH,HIGH,False,False,False,PASS,"Grounded, concise, specific description."
