id,name,official_url,official_url_classification,logo_url,logo_classification,logo_verified,description_length,description,description_phase4d_match,tool_qualification,category,provenance_status,final_status,issues
tool_8ff2b861cf4f58ee,nanobrowser,https://nanobrowser.ai,OFFICIAL_EXTERNAL_WEBSITE,https://nanobrowser.ai/og-image.jpg,OFFICIAL_SITE_ASSET,True,174,"nanobrowser is an open-source Chrome extension for AI-powered web automation that runs multi-agent workflows using your own LLM API key, as an alternative to OpenAI Operator.",True,PASS,Agents|Automation,PASS,READY,None
tool_9c4d972cc4034652,ccstatusline,,MISSING,https://opengraph.githubassets.com/5c0d6514cc7673f7010beecfcc01af9f8efe41b76d4e31fc90342a26214b3f09/sirmalloc/ccstatusline,SOCIAL_PREVIEW,False,102,ccstatusline provides a customizable statusline for Claude Code CLI with powerline support and themes.,True,PASS,Developer Tools,PASS,READY,None
tool_fe37e69165cb39d9,ChatGPT-Shortcut,https://aishort.top/en,OFFICIAL_EXTERNAL_WEBSITE,https://www.aishort.top/en/img/social-card.png,OFFICIAL_SITE_ASSET,True,88,"ChatGPT-Shortcut is a searchable prompt library for ChatGPT, Claude, Gemini, and Cursor.",True,PASS,Productivity,PASS,READY,None
tool_d08a330a85e233ab,steel-browser,https://steel.dev,OFFICIAL_EXTERNAL_WEBSITE,https://steel.dev/assets/framerusercontent.com/images/hzr6B16ZaxRs78SqFtTcvyAaQlQ.png,OFFICIAL_SITE_ASSET,True,123,Steel Browser is a batteries-included browser sandbox that lets you automate the web without worrying about infrastructure.,True,PASS,Agents|Developer Tools,PASS,READY,None
tool_d7e17d8a9f4acacc,modly,https://modly3d.app,OFFICIAL_EXTERNAL_WEBSITE,https://modly3d.app/app-screenshot.png,OFFICIAL_SITE_ASSET,True,122,"Modly is a desktop app that generates 3D models from images or prompts using local AI, running entirely on the user's GPU.",True,PASS,Design,PASS,REVIEW_REQUIRED,Specialized domain classification review
tool_740d362d12f4908b,autoclip,https://zhouxiaoka.github.io/autoclip_intro,OFFICIAL_EXTERNAL_WEBSITE,https://zhouxiaoka.github.io/apple-touch-icon.png,OFFICIAL_SITE_ASSET,True,235,"AutoClip is an AI-based video clipping system that automatically downloads videos from platforms such as YouTube and Bilibili, uses AI to analyze and extract highlight segments, and can generate video collections from those highlights.",True,PASS,Agents|Models|Video,PASS,READY,None
tool_f9a8f19eff136d6e,FunClip,https://huggingface.co/spaces/FunAudioLLM/FunClip,OFFICIAL_EXTERNAL_WEBSITE,https://cdn-thumbnails.huggingface.co/social-thumbnails/spaces/FunAudioLLM/FunClip.png,OFFICIAL_SITE_ASSET,True,124,"FunClip is a FunASR-powered video transcription, subtitle generation, and LLM-assisted clipping tool with a local Gradio UI.",True,PASS,Audio|Models|Video,PASS,READY,None
tool_a7be506c8c90cf37,quotio,https://quotio.dev,OFFICIAL_EXTERNAL_WEBSITE,https://quotio.dev/logo.png,OFFICIAL_SITE_ASSET,True,232,"Quotio is a native macOS menu bar app that unifies Claude, Gemini, OpenAI, Qwen, and Antigravity subscriptions, providing real-time quota tracking and smart auto‑failover for AI coding tools such as Claude Code, OpenCode, and Droid.",True,PASS,Developer Tools,PASS,READY,None
tool_abe3fb74d529db6b,poster-design,https://design.palxp.cn,OFFICIAL_EXTERNAL_WEBSITE,https://design.palxp.cn/favicon.svg,OFFICIAL_SITE_ASSET,True,195,"An online image editor that provides AI-powered poster design and supports scenarios such as poster generation, e‑commerce product images, article long images, and video or public account covers.",True,PASS,Design,PASS,REVIEW_REQUIRED,Specialized domain classification review
tool_76bdee9cf6429dcd,logfire,https://pydantic.dev/logfire,OFFICIAL_EXTERNAL_WEBSITE,https://pydantic.dev/logfire/opengraph-image.jpg,OFFICIAL_SITE_ASSET,True,77,logfire is an AI observability platform for production LLM and agent systems.,True,PASS,Developer Tools,PASS,READY,None
tool_9d15ee538baca472,judge0,https://judge0.com,OFFICIAL_EXTERNAL_WEBSITE,https://judge0.com/assets/cover-image/judge0-cover.png,OFFICIAL_SITE_ASSET,True,114,judge0 is an open-source online code execution system that runs code in a sandboxed environment for humans and AI.,True,PASS,Coding,PASS,READY,None
tool_f6dba713ec1614e4,claude-devtools,https://claude-dev.tools,OFFICIAL_EXTERNAL_WEBSITE,https://claude-dev.tools/opengraph-image?003cc826c15f19e1,OFFICIAL_SITE_ASSET,True,117,"Provides a visual UI to inspect Claude Code session logs, tool calls, token usage, subagents, and the context window.",True,PASS,Agents|Developer Tools|Models,PASS,READY,None
tool_2533134dbcce5d26,tutti,https://tutti.sh,OFFICIAL_EXTERNAL_WEBSITE,"https://tutti.sh/cdn-cgi/image/format=auto,quality=85/_static/official/img/social-share-card.webp",OFFICIAL_SITE_ASSET,True,137,"tutti is a platform where people and agents build in tune, described as the first multi-user, multi-agent, real-time collaboration space.",True,PASS,Agents|Developer Tools|MCP,PASS,READY,None
tool_efcd461b9ec40802,pinme,https://pinme.eth.limo,OFFICIAL_EXTERNAL_WEBSITE,https://pinme.eth.limo/pinme.jpg,OFFICIAL_SITE_ASSET,True,71,Deploy Your Frontend in a Single Command. Claude Code Skills supported.,True,PASS,Developer Tools,PASS,READY,None
tool_d10ac25ba2ebd643,anything-analyzer,,MISSING,https://opengraph.githubassets.com/e12b7302c1139a4c7f4e803ca1448426cd4273007ff1b6477cfd49233c58bac0/Mouseww/anything-analyzer,SOCIAL_PREVIEW,False,190,"The anything-analyzer is an all-in-one protocol analysis toolkit with built-in browser capture, MITM proxy, JS hooks, fingerprint spoofing, AI analysis, and MCP server for agent integration.",True,PASS,MCP|Agents,PASS,READY,None
tool_06b2795a2ecbeb54,llm-wiki-agent,,MISSING,https://opengraph.githubassets.com/d6d59ee54bf7eeff6cbf02a44f53e1cfe72c6209018fe8fdf212419878d4e0e4/SamurAIGPT/llm-wiki-agent,SOCIAL_PREVIEW,False,172,The llm-wiki-agent is a personal knowledge base that builds and maintains itself by extracting knowledge from dropped sources and maintaining a persistent interlinked wiki.,True,PASS,Agents|Automation|Models|Productivity|Developer Tools|Research,PASS,READY,None
tool_76837f17df506d8c,VulnClaw,https://unclecheng-li.github.io/vulnclaw.com,OFFICIAL_EXTERNAL_WEBSITE,https://unclecheng-li.github.io/assets/logo.png,OFFICIAL_SITE_ASSET,True,248,"VulnClaw automates the full workflow of information collection, vulnerability discovery, exploitation, and report generation from natural language input, using an AI Agent, MCP toolchain, penetration skill orchestration, and a large language model.",True,PASS,Agents,PASS,READY,None
tool_0db13fe3eb3e0eb6,any-auto-register,,MISSING,https://opengraph.githubassets.com/927676d12ef04d84ba9b53d5df8e09630ec18bdee6c765719092deab0dce701a/lxf746/any-auto-register,SOCIAL_PREVIEW,False,241,"The any-auto-register tool auto-registers and manages accounts for multiple AI platforms, including ChatGPT, Cursor, Kiro, Grok, Windsurf, Trae, and 13+ others, and provides protocol/browser dual-mode and a one‑click Mac/Windows desktop app.",True,PASS,Automation,PASS,READY,None
tool_c006703a2795d033,claude-tap,,MISSING,https://opengraph.githubassets.com/b492b3e5f90a05694023e1b9558bfaf77da548ef7823698e1518b0293d86cad7/liaohch3/claude-tap,SOCIAL_PREVIEW,False,165,"Intercept and inspect Coding Agent API traffic from Claude Code, Codex CLI, Gemini CLI, Cursor CLI, OpenCode, Kimi/Kimi Code, Pi, and Hermes in a local trace viewer.",True,PASS,Agents|Developer Tools|Models,PASS,READY,None
tool_d1179244828ac03d,open-terminal,https://openterminal.sh,OFFICIAL_EXTERNAL_WEBSITE,https://openterminal.sh/og-image.svg,OFFICIAL_SITE_ASSET,True,196,"Open-terminal provides a computer that can be accessed via curl, giving AI agents and automation tools a dedicated environment to run commands, manage files, and execute code through a simple API.",True,PASS,Agents,PASS,READY,None
tool_54d8589967f974ed,tuicr,https://tuicr.dev,OFFICIAL_EXTERNAL_WEBSITE,https://tuicr.dev/favicon.svg,OFFICIAL_SITE_ASSET,True,230,"tuicr is a terminal user interface (TUI) for code review that uses vim keybindings to navigate and comment on changes. It can export reviews to GitHub, GitLab, Gitea, Bitbucket, Azure DevOps, Gerrit, or copy them to the clipboard.",True,PASS,Developer Tools,PASS,READY,None
tool_b46f91ff30a7904b,humanize-text,https://lynote.ai/ai-humanizer,OFFICIAL_EXTERNAL_WEBSITE,https://strapi.lynote.ai/uploads/lynote_ai_learning_platform_f44370a9db.jpg,OFFICIAL_SITE_ASSET,True,196,"The humanize-text tool is an open-source text humanization pipeline that involves two LLM rewrites at temperature 1.3 and two hops across different NMT engines, with four documented methodologies.",True,PASS,Developer Tools,PASS,READY,None
tool_8e07d3b4f9d247e1,daily-arXiv-ai-enhanced,https://arxiv.dw-dengwei.cn,OFFICIAL_EXTERNAL_WEBSITE,https://arxiv.dw-dengwei.cn/assets/logo2-removebg-preview.png,OFFICIAL_SITE_ASSET,True,138,"daily-arXiv-ai-enhanced automatically crawls arXiv papers each day, uses AI to summarize them, and presents the summaries on GitHub Pages.",True,PASS,Developer Tools,PASS,READY,None
tool_439834253697f9a5,clawpanel,https://claw.qt.cool,OFFICIAL_EXTERNAL_WEBSITE,http://claw.qt.cool/static/img/logo-128.png,OFFICIAL_SITE_ASSET,True,250,"clawpanel is an OpenClaw & Hermes Agent multi-engine AI management panel with a built-in AI assistant that supports tool calls, image recognition, and multimodal features; it is a Tauri v2 cross‑platform desktop application available in 11 languages.",True,PASS,Agents|Models,PASS,READY,None
tool_8a605eaed337460b,designer-skills,,MISSING,https://opengraph.githubassets.com/13c41c0c7fbe89c3d94fa1d5da62e8eaec3e06320d3a90285b77194c36e3a9d3/Owl-Listener/designer-skills,SOCIAL_PREVIEW,False,135,"Designer Skills Collection: agentic skills, commands, and plugins for design — from research to systems, UI, interaction, and delivery.",True,PASS,Agents,PASS,READY,None
tool_895e065ce1a04628,oh-my-hermes,https://rlaope.github.io/oh-my-hermes,OFFICIAL_EXTERNAL_WEBSITE,https://rlaope.github.io/oh-my-hermes/assets/omh-readme-hero.png,OFFICIAL_SITE_ASSET,True,132,"All in one plugin for Hermes Agent, providing coding intelligence, a long-term memory system, and model optimized workflow packages.",True,PASS,Agents,PASS,READY,None
tool_baf31e07d6442efa,Data-Analysis-Agent,,MISSING,https://opengraph.githubassets.com/75d40ceef5e758851b04f9820776209f69fab721e921575bd7a9ccd64af6494a/Zafer-Liu/Data-Analysis-Agent,SOCIAL_PREVIEW,False,212,"The Data-Analysis-Agent is a personal data analysis assistant that lets users chat with their data to instantly generate visualizations and business insights, removing the need for complex SQL and Excel formulas.",True,PASS,Agents|Data Analysis,PASS,READY,None
tool_b28d0519e53bc790,lanhu-mcp,,MISSING,https://opengraph.githubassets.com/1f310d97ab772deecce6b884b8398ce92818e48cff387043250bd46acf9671a9/dsphper/lanhu-mcp,SOCIAL_PREVIEW,False,169,The tool lanhu-mcp is a team collaboration MCP server designed for the AI programming era. It automatically analyzes requirements and writes front-end and back-end code.,True,PASS,Agents|MCP,PASS,READY,None
tool_fbe489a491455564,token-monitor,http://javis-ai.com/token-monitor,OFFICIAL_EXTERNAL_WEBSITE,http://javis-ai.com/assets/icon.png,OFFICIAL_SITE_ASSET,True,207,"The token-monitor is a local-first desktop widget for tracking token usage, costs, and limits across 37+ AI coding tools, including Claude Code, Codex, Cursor, OpenCode, and OpenClaw, with multi-device sync.",True,PASS,Models,PASS,READY,None
tool_4aecf048e2043752,open-cowork,,MISSING,https://repository-images.githubusercontent.com/1133660268/27f092ca-8b76-4b02-b498-9c9f690cb1eb,THIRD_PARTY,False,231,"Open-cowork is an open-source AI agent desktop app for Windows and macOS that provides one-click installation of Claude Code, MCP tools, and Skills, and includes sandbox isolation, multi-model support, and Feishu/Slack integration.",True,PASS,Agents|MCP,PASS,READY,None
tool_a1d72d324e8bed44,stealth-browser-mcp,,MISSING,https://opengraph.githubassets.com/28dac5c3f03452e0664ba1275e790d1e32467d291901fbe4b0a8d34754ac44ce/vibheksoni/stealth-browser-mcp,SOCIAL_PREVIEW,False,157,"stealth-browser-mcp enables browser automation that bypasses anti-bot systems, using AI‑generated network hooks and pixel‑perfect UI cloning via simple chat.",True,PASS,Developer Tools|MCP|Automation,PASS,READY,None
tool_4d65837a330174b0,LiveAgent,,MISSING,https://opengraph.githubassets.com/789fc97d29d1c9f98b3d840c885bf3253ab9f04b81d934e5c7ae16c3b1fd189f/Stack-Cairn/LiveAgent,SOCIAL_PREVIEW,False,129,LiveAgent is a fully functional AI Agent desktop client that supports Webui access and can be creatively customized and expanded.,True,PASS,Agents|MCP,PASS,READY,None
tool_e6a1d44516bb79ab,opc-skills,https://opc.dev,OFFICIAL_EXTERNAL_WEBSITE,https://raw.githubusercontent.com/ReScienceLab/opc-skills/main/website/og-image.png,GITHUB_ASSET,False,50,opc-skills provides agent skills for solopreneurs.,True,PASS,Marketing,PASS,REVIEW_REQUIRED,Concise description (50 chars)
tool_77cd63df5117cf97,VoiceMem,,MISSING,https://opengraph.githubassets.com/aea59b5034e924f035d60128807b5a4256021ee494aaea3ef1d19be0239a237f/xzf-thu/VoiceMem,SOCIAL_PREVIEW,False,191,"Infrastructure for the next generation of voice agents, designed to provide universal memory. It is divided into a left brain and a right brain, storing information and emotions respectively.",True,PASS,Agents|Models,PASS,READY,None
tool_0dc3e56862d12fef,Seal-Report,https://sealreport.org,OFFICIAL_EXTERNAL_WEBSITE,https://sealreport.org/images/favicon.ico,OFFICIAL_SITE_ASSET,True,65,Seal-Report is a .Net database reporting tool and task framework.,True,PASS,Agents|Data Analysis,PASS,REVIEW_REQUIRED,Concise description (65 chars)
tool_94084733ad02f739,TokenTracker,https://tokentracker.cc,OFFICIAL_EXTERNAL_WEBSITE,https://www.tokentracker.cc/dashboard-dark.png,OFFICIAL_SITE_ASSET,True,192,"TokenTracker is a local-first AI token usage and cost tracker for 31 coding tools, including Claude Code, Codex, Cursor, Gemini, and DeepSeek Harness, with native apps. It never reads prompts.",True,PASS,Developer Tools,PASS,READY,None
tool_a82857b86b7407ab,sprite-gen,,MISSING,https://repository-images.githubusercontent.com/1236336437/c9af109c-9e85-4469-a563-aa871767c6a7,THIRD_PARTY,False,184,"The sprite-gen tool generates clean 2D game sprites and animation atlases using a component-row pipeline that includes state rows, alpha cleanup, frame extraction, and runtime atlases.",True,PASS,Developer Tools,PASS,READY,None
tool_658cd13b99c68db3,gortex,https://gortex.dev,OFFICIAL_EXTERNAL_WEBSITE,https://gortex.dev/favicon.svg,OFFICIAL_SITE_ASSET,True,206,"Gortex is a code‑intelligence engine for AI agents and IDEs that supports 257 languages and multiple repositories. It uses a graph‑based model, can be accessed via CLI, MCP Server, or API, and runs locally.",True,PASS,Coding|Developer Tools|MCP|Agents,PASS,READY,None
tool_cec4a984e9dac917,openilink-hub,https://openilink.com,OFFICIAL_EXTERNAL_WEBSITE,https://openilink.com/og-image.png,OFFICIAL_SITE_ASSET,True,246,"openilink-hub is a self‑hosted WeChat bot management platform that includes an app marketplace and integrates with Lark, Slack, Discord, DingTalk, GitHub, Notion, and over 20 other apps, offering AI tools and SDKs for seven programming languages.",True,PASS,AI Assistants,PASS,REVIEW_REQUIRED,Specialized domain classification review
tool_a3aa192845560395,Atomic-Chat,https://atomic.chat,OFFICIAL_EXTERNAL_WEBSITE,https://cdn.prod.website-files.com/69d4e04c943eea1581f96f37/6a4c0cecf04f6540db797e37_opengraph.jpg,OFFICIAL_SITE_ASSET,True,130,Atomic-Chat is a local AI app and inference engine for agents that runs open-weight LLMs privately and 100% offline on a computer.,True,PASS,Models|MCP|Developer Tools,PASS,READY,None
