id,entity_type,name,description,official_url,repository_url,manufacturer,device_type,physical_form,capabilities,processor,accelerator,memory,operating_system,open_source,commercial_status,source_name,source_url,website_status,logo_status,quality_score,updated_at
device:sourcenetwork/defradb,device,defradb,DefraDB is a Peer-to-Peer Edge-First Database. It's the core data storage system for the Source Ecosystem.,https://docs.source.network/defradb,https://github.com/sourcenetwork/defradb,sourcenetwork,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:pangu-immortal/magicwx,device,MagicWX,Android 17 local LLM prototype with Jetpack Compose and ONNX Runtime for offline AI inference experiments.,,https://github.com/pangu-immortal/magicwx,Pangu-Immortal,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:fluxions-ai/vui,device,vui,"Vui Nano — a small, context-aware text-to-speech model trained on real conversations. 219M active params (305M total), Apache 2.0, voice cloning, streaming, runs on CPU (dependency-free C build). Ships with a full real-time voice assistant: WebRTC, ASR, local LLM, OpenAI Realtime API compatible.",https://fluxions.ai/blog/vui-launch,https://github.com/fluxions-ai/vui,fluxions-ai,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training, low_latency_compute",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:hailo-ai/hailo_model_zoo,device,hailo_model_zoo,The Hailo Model Zoo includes pre-trained models and a full building and evaluation environment,,https://github.com/hailo-ai/hailo_model_zoo,hailo-ai,AI Accelerator,PCIe Card,"edge_inference, vision_processing, on_device_training",Hailo AI Processor,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:picovoice/speech-to-text-benchmark,device,speech-to-text-benchmark,speech to text benchmark framework,https://picovoice.ai,https://github.com/picovoice/speech-to-text-benchmark,Picovoice,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:simonzeng7108/efficientsam3,device,efficientsam3,"EfficientSAM3 compresses SAM3 into lightweight, edge-friendly models via progressive knowledge distillation for fast promptable concept segmentation and tracking.",https://simonzeng7108.github.io/efficientsam3,https://github.com/simonzeng7108/efficientsam3,SimonZeng7108,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, vision_processing",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:anilsathyan7/portrait-segmentation,device,Portrait-Segmentation,Real-time portrait segmentation for mobile devices,,https://github.com/anilsathyan7/portrait-segmentation,anilsathyan7,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, vision_processing",NVIDIA Jetson System-on-Module,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:azure/ai-in-a-box,device,AI-in-a-Box,AI-in-a-Box leverages the expertise of Microsoft across the globe to develop and provide AI and ML solutions to the technical community.  Our intent is to present a curated collection of solution accelerators that can help engineers establish their AI/ML environments and solutions rapidly and with minimal friction.,,https://github.com/azure/ai-in-a-box,Azure,AI Accelerator,PCIe Card,"edge_inference, vision_processing",,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:helldez/bigmoeonedge,device,BigMoeOnEdge,"Run MoE models bigger than your RAM. Frontier-size MoE on a 12 GB phone, CPU only, lossless, on stock llama.cpp",,https://github.com/helldez/bigmoeonedge,Helldez,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:mit-han-lab/tiny-training,device,tiny-training,On-Device Training Under 256KB Memory [NeurIPS'22],http://tinytraining.mit.edu,https://github.com/mit-han-lab/tiny-training,mit-han-lab,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:mantisfury/arkhammirror,device,ArkhamMirror,Local-first AI-powered document intelligence platform for investigative journalism,,https://github.com/mantisfury/arkhammirror,mantisfury,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,True,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:sonysemiconductorsolutions/mct-model-optimization,device,mct-model-optimization,"Model Compression Toolkit (MCT) is an open source project for neural network model optimization under efficient, constrained hardware. This project provides researchers, developers, and engineers advanced quantization and compression tools for deploying state-of-the-art neural networks.",https://sonysemiconductorsolutions.github.io/mct-model-optimization,https://github.com/sonysemiconductorsolutions/mct-model-optimization,SonySemiconductorSolutions,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:xybrid-ai/xybrid,device,xybrid,Cross-platform on-device AI toolkit,https://xybrid.ai,https://github.com/xybrid-ai/xybrid,xybrid-ai,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:google-ai-edge/litert-samples,device,litert-samples,"LiteRT and LiteRT-LM sample apps, model recipes, agent skills and utilities.",https://developers.google.com/edge/litert,https://github.com/google-ai-edge/litert-samples,google-ai-edge,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:opensparx/masteragent,device,MasterAgent,Build AI agents that run 100% on-device. Sub-100ms latency on Qualcomm NPU. Zero cloud dependency.,https://opensparx.ai,https://github.com/opensparx/masteragent,OpenSparX,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, low_latency_compute",Dedicated NPU Chip,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:dusty-nv/nanollm,device,NanoLLM,"Optimized local inference for LLMs with HuggingFace-like APIs for quantization, vision/language models, multimodal agents, speech, vector DB, and RAG.",https://dusty-nv.github.io/NanoLLM,https://github.com/dusty-nv/nanollm,dusty-nv,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, vision_processing",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:magic-blue-smoke/dual-edge-tpu-adapter,device,Dual-Edge-TPU-Adapter,Dual Edge TPU Adapter to use it on a system with single PCIe port on m.2 A/B/E/M slot,,https://github.com/magic-blue-smoke/dual-edge-tpu-adapter,magic-blue-smoke,AI Accelerator,PCIe Card,edge_inference,Google Coral Edge TPU,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:facex-engine/facex,device,facex,"Full face stack that runs entirely in the browser. Detection, 576-point 3D mesh, recognition, anti-spoof, smile — all WebAssembly, zero server. Apache 2.0.",https://facex-engine.github.io/facex/demo,https://github.com/facex-engine/facex,facex-engine,AI Workstation,Standalone Appliance,"edge_inference, vision_processing, low_latency_compute",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:thinkoffapp/carwatch,device,CarWatch,Your car as a chat-room agent: Raspberry Pi 5 + dashcam + local AI. CodeWatch's sibling for the garage.,https://carwatch.dev,https://github.com/thinkoffapp/carwatch,ThinkOffApp,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,Broadcom ARM NPU / Raspberry Pi,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:fasterai-labs/fasterai,device,fasterai,FasterAI: Prune and Distill your models with FastAI and PyTorch,https://fasterai-labs.github.io/fasterai,https://github.com/fasterai-labs/fasterai,FasterAI-Labs,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:bdtinc/maskcam,device,maskcam,Jetson Nano-based smart camera system that measures crowd face mask usage in real-time.,,https://github.com/bdtinc/maskcam,bdtinc,AI Camera,Smart Camera Appliance,"edge_inference, vision_processing",NVIDIA Jetson System-on-Module,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:jegly/offlinellm,device,OfflineLLM,"Private on-device AI chat for Android — runs any GGUF model locally via llama.cpp with ARM-optimised SIMD. Zero network   permissions, encrypted settings, biometric lock, tamper detection. + GPU Acceleration",https://jegly.xyz,https://github.com/jegly/offlinellm,jegly,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:faceonlive/spleeter-android-ios,device,Spleeter-Android-iOS,"On-device, Offline Spleeter Solution For Mobile",https://portfolio.faceonlive.com,https://github.com/faceonlive/spleeter-android-ios,FaceOnLive,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:hailo-ai/hailort,device,hailort,An open source light-weight and high performance inference framework for Hailo devices,https://hailo.ai,https://github.com/hailo-ai/hailort,hailo-ai,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,Hailo AI Processor,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:wmaslonek/guardian-db,device,guardian-db,"GuardianDB: High-performance, local-first decentralized database that stores and processes data, built on Rust and Iroh",https://willsearch.com.br,https://github.com/wmaslonek/guardian-db,wmaslonek,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:argoha/d-fine-seg,device,D-FINE-seg,"D-FINE-seg Object Detection and Segmentation Framework (Train, Export, Inference)",https://arxiv.org/abs/2602.23043,https://github.com/argoha/d-fine-seg,ArgoHA,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:hailo-ai/tappas,device,tappas,"High-performance, optimized pre-trained template AI application pipelines for systems using Hailo devices",http://hailo.ai,https://github.com/hailo-ai/tappas,hailo-ai,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training",Hailo AI Processor,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:ferranpons/llamatik,device,Llamatik,"True on-device AI for Kotlin Multiplatform (Android, iOS, Desktop, JVM, WASM). LLM, Speech-to-Text and Image Generation — powered by llama.cpp, whisper.cpp and stable-diffusion.cpp.",https://llamatik.com,https://github.com/ferranpons/llamatik,ferranpons,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, vision_processing, sensor_fusion",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:krillclaw/krillclaw,device,KrillClaw,The world's smallest AI agent runtime. 49KB. Written in Zig. Zero dependencies.,https://krillclaw.com,https://github.com/krillclaw/krillclaw,krillclaw,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:machinefi/trio-retina,device,trio-retina,"Model-agnostic state layer for world models — turn any detector (YOLO · VLM · DINO) into one standard, queryable stream of events + latent state. numpy-only, runs on CPU at the edge.",https://machinefi.github.io/trio-retina,https://github.com/machinefi/trio-retina,machinefi,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, vision_processing",,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:otroshi/edgeface,device,edgeface,EdgeFace: Efficient Face Recognition Model for Edge Devices [TBIOM 2024]  🏆 Winner of compact track of IJCB 2023 Efficient Face Recognition Competition,,https://github.com/otroshi/edgeface,otroshi,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:mulgadc/spinifex,device,spinifex,"Spinifex – Open source AWS-compatible platform for secure edge deployments. Run EC2, VPC, S3, and EBS-like services on bare metal with full control. Built for environments where running in the cloud isn’t an option. Whether you’re deploying to edge sites, private data-centers, or operating in low-connectivity or highly contested environments.",https://mulgadc.com/spinifex,https://github.com/mulgadc/spinifex,mulgadc,AI Wearable,Smart Wearable,edge_inference,,,,Linux / Custom RTOS,True,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:tilellilab/atome-lm,device,atome-lm,"A ternary, zero-heap tiny language model that runs inside a $2 microcontroller — bit-exact Python <-> C99 <-> Cortex-M3 (QEMU) parity. Apache-2.0.",https://atomelm.com,https://github.com/tilellilab/atome-lm,TilelliLab,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:simplex-micro/riscv-vector-primer,device,riscv-vector-primer,Read chapters directly from this repo - do not use GitHub Pages link.,,https://github.com/simplex-micro/riscv-vector-primer,simplex-micro,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,True,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:ceva-ip/dpdfnet,device,DPDFNet,"Clean up noisy speech in real time with DPDFNet - open-source streaming speech enhancement for research, audio apps, and edge devices. Includes pretrained models, PyTorch code, ONNX/TFLite inference, 8/16/48 kHz support, and live demos.",,https://github.com/ceva-ip/dpdfnet,ceva-ip,AI Accelerator / Edge Dev Kit,Single Board Computer,"edge_inference, on_device_training, low_latency_compute",,,,Linux / Custom RTOS,True,Developer Kit,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,REPOSITORY_PROVENANCE_ONLY,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:scottcjn/legend-of-elya-n64,device,legend-of-elya-n64,"Legend of Elya — N64 game with a real 6.36M-parameter ternary transformer on the VR4300 MIPS III CPU. Zelda-style dungeon, AI NPCs, byte-level inference at 1.23 tok/s scalar / 2.19 tok/s on the RSP overlay (measured under ares, never on silicon). Built with libdragon.",https://hackaday.io/project/206401-transformers-on-retro-game-consoles,https://github.com/scottcjn/legend-of-elya-n64,Scottcjn,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:mozilla-ai/encoderfile,device,encoderfile,Distribute and run transformer encoders with a single file.,https://mozilla-ai.github.io/encoderfile,https://github.com/mozilla-ai/encoderfile,mozilla-ai,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:rusegal/ruseon-core,device,ruseon-core,"Edge video infrastructure in Go for CCTV — RTSP ingest, HLS/WebRTC streaming, fMP4 recording, timeshift and AI metadata pipelines.",https://ruseon.tech,https://github.com/rusegal/ruseon-core,RUSEGAL,AI Workstation,Standalone Appliance,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
device:edge-video-services/ekya,device,ekya,"Source code and datasets for Ekya, a system for continuous learning on the edge.",https://aka.ms/ekya,https://github.com/edge-video-services/ekya,edge-video-services,AI Accelerator / Edge Dev Kit,Single Board Computer,edge_inference,,,,Linux / Custom RTOS,False,Commercial Product,GitHub AI Hardware Search,https://api.github.com/search/repositories?q=topic%3Aedge-ai+stars%3A%3E1,ACCESSIBLE_UNVERIFIED,UNVERIFIED,1.0,2026-09-17T12:26:10.816756+00:00
