Record ID,Robot Name,Description,Manufacturer,Robot Type,Form Factor,Commercial Status,Official Website,Source,Source URL,Website Verified
robot:iit-dlslab/mpx,mpx,Model Predictive Control in JAX,iit-DLSLab,Humanoid Robot,,Research Platform,https://github.com/iit-DLSLab/mpx,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:stephane-caron/lipm_walking_controller,lipm_walking_controller,Walking controller for humanoid robots based on inverted pendulum tracking,stephane-caron,Humanoid Robot,,Research Platform,https://github.com/stephane-caron/lipm_walking_controller,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:renforce-dynamics/trackerlab,trackerLab,"TrackerLab is a cutting-edge modular framework for humanoid motion retargeting, trajectory tracking, and skill-level control, built on top of IsaacLab.",Renforce-Dynamics,Humanoid Robot,,Research Platform,https://github.com/Renforce-Dynamics/trackerLab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:stephane-caron/pymanoid,pymanoid,Humanoid robotics prototyping environment based on OpenRAVE,stephane-caron,Humanoid Robot,,Research Platform,https://github.com/stephane-caron/pymanoid,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:rokbenko/quackd,quackd,"One CLI for all your robots. Connect them, command them, and let them work together, each with an LLM for a brain. Microduck, Open Duck Mini, LeRobot, XLeRobot, AlohaMini, ToddlerBot or any ROS base. Claude, OpenAI, Gemini, Grok, or local via Ollama or vLLM. Simulator, .duck safety contracts, MCP, memory between runs, flocks.",rokbenko,Humanoid Robot,,Commercial Product,https://quackd.org,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:renforce-dynamics/multimodalwbc,MultiModalWBC,"MultiModalWBC is a fully open-source, IsaacLab-based framework for multi-modal whole-body control, designed for motion imitation, motion tracking, and task-conditioned control in legged robots. The framework unifies robot proprioceptive states and multi-modal human motion conditions into a consistent interface",Renforce-Dynamics,Humanoid Robot,,Research Platform,https://github.com/Renforce-Dynamics/MultiModalWBC,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:botrunner64/teleopit,Teleopit,a full-embodiment humanoid teleoperation system,BotRunner64,Humanoid Robot,,Commercial Product,https://botrunner64.github.io/Teleopit,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:utra-robosoccer/soccerbot,soccerbot,Soccer playing robot representing Canada from University of Toronto,utra-robosoccer,Humanoid Robot,,Commercial Product,https://utra-robosoccer.github.io,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:ut-austin-rpl/trill,TRILL,Official codebase for TRILL (Teleoperation and Imitation Learning for Loco-manipulation),UT-Austin-RPL,Humanoid Robot,,Commercial Product,https://ut-austin-rpl.github.io/TRILL,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:purdue-tracelab/pace-icra2026,PACE-ICRA2026,"[ICRA2026] ""PACE: Physics Augmentation for Coordinated End-to-end Reinforcement Learning toward Versatile Humanoid Table Tennis""",purdue-tracelab,Humanoid Robot,,Commercial Product,https://purdue-tracelab.github.io/ttrobot.github.io,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:robotology/blender-robotics-utils,blender-robotics-utils,Set of utilities for exporting/controlling your robot in Blender,robotology,Humanoid Robot,,Research Platform,https://github.com/robotology/blender-robotics-utils,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:lax3n/humantyping,HumanTyping,"The most realistic keyboard typing simulator based on Markov Chains. Models authentic human behavior (errors, corrections, fatigue, speed variations) for Playwright and Selenium automation.",Lax3n,Humanoid Robot,,Research Platform,https://github.com/Lax3n/HumanTyping,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:open-x-humanoid/bicmap,BICMap,"A WebGL-based robotics map visualization SDK for SLAM maps, point clouds, 3D models, and robot navigation.",Open-X-Humanoid,Humanoid Robot,,Commercial Product,https://bicmap.x-humanoid-cloud.com,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:aravinthpanch/gesture-recognition-for-human-robot-interaction,gesture-recognition-for-human-robot-interaction,"Gesture Recognition For Human-Robot Interaction with modelling, training, analysing and recognising gestures based on computer vision and machine learning techniques. This work was done at Distributed Artificial Intelligence Lab (DAI Labor), Berlin.",AravinthPanch,Humanoid Robot,,Commercial Product,http://projects.aravinth.info/hri,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:dainamite/programming-humanoid-robot-in-python,programming-humanoid-robot-in-python,Programming Humanoid Robot In Python,DAInamite,Humanoid Robot,,Commercial Product,http://dainamite.de,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:flashcat-jordan/ottoclaw,OttoClaw,AI桌面人形机器人 — ESP32-S3全栈运行，不会开口说话，22种情绪+关系成长+6路舵机AI控制，全栈开源(CC BY-NC-SA 4.0),FlashCat-Jordan,Humanoid Robot,,Commercial Product,https://shanmaotech.cn/ottodiy,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:open-rdc/ros2_walking_pattern_generator,ROS2_Walking_Pattern_Generator,Walking Pattern Generator (= Walking Controller) using ROS2 for Humanoid Robots,open-rdc,Humanoid Robot,,Commercial Product,https://twitter.com/OdoOdomeme555,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:txp666/ottodiy-docs,ottodiy-docs,开源 Otto 机器人 + 小智 AI 技术文档与分享,txp666,Humanoid Robot,,Commercial Product,http://ottodiy.tech,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:nvidia-isaac/nvblox_mindmap,nvblox_mindmap,mindmap: Spatial Memory in Deep Feature Maps for 3D Action Policies,nvidia-isaac,Humanoid Robot,,Commercial Product,https://nvidia-isaac.github.io/nvblox_mindmap,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:opendrivelab/robonaldo,RoboNaldo,"Official codebase for paper ""RoboNaldo: Accurate, Stable and Powerful Humanoid Soccer Shooting""",OpenDriveLab,Humanoid Robot,,Commercial Product,https://arxiv.org/abs/2606.11092,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:galactechnyc/unitree-g1-autonomous,unitree-g1-autonomous,🤖 Fully autonomous navigation system for Unitree G1 humanoid robot using AI-powered visual analysis with Google Gemini API,GalacTechNyc,Humanoid Robot,,Research Platform,https://github.com/GalacTechNyc/unitree-g1-autonomous,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:ekorudiawan/zmp-preview-control-wpg,ZMP-Preview-Control-WPG,ZMP Preview Control Walking Pattern Generation for Biped Humanoid Robot,ekorudiawan,Humanoid Robot,,Research Platform,https://github.com/ekorudiawan/ZMP-Preview-Control-WPG,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:simonepri/roboprime,roboprime,🤖 Full featured 21 DOF 3D Printed Humanoid Robot based on ATmega328P chip,simonepri,Humanoid Robot,,Research Platform,https://github.com/simonepri/roboprime,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:incognite-lab/pepper-controller,Pepper-Controller,Python controller for Pepper humanoid robot. It allows to write apps in Python. There are examples of simple applications for Pepper. We develop GUI to operate the robot and run custom apps ,incognite-lab,Humanoid Robot,,Commercial Product,http://incognite.ciirc.cvut.cz,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:rhoban/mjlab_microban,mjlab_microban,"Reinforcement Learning (RL) environments for the Microban platform, a 30cm open-source and affordable humanoid robot.",Rhoban,Humanoid Robot,,Research Platform,https://github.com/Rhoban/mjlab_microban,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:sail-sg/teamhoi,TeamHOI,[CVPR 2026] TeamHOI: Learning a Unified Policy for Cooperative Human-Object Interactions with Any Team Size,sail-sg,Humanoid Robot,,Commercial Product,https://splionar.github.io/TeamHOI,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:jewel-nath/robot-blueberry,robot-blueberry,Raspberry pi based humanoid robot.,jewel-nath,Humanoid Robot,,Research Platform,https://github.com/jewel-nath/robot-blueberry,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:sustaina-op/sustaina-op,SUSTAINA-OP,Open Hardware Platform Humanoid Robot,SUSTAINA-OP,Humanoid Robot,,Commercial Product,https://sustaina-op.github.io/SUSTAINA-OP,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:uiuckimlab/child,CHILD,"Official Github repository for ""CHILD: a Whole-Body Humanoid Teleoperation System"". (Humanoids 2025)",uiuckimlab,Humanoid Robot,,Commercial Product,https://uiuckimlab.github.io/CHILD-pages,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:mrsp/whole_body_ik,whole_body_ik,Whole body Inverse Kinematics based on Pinocchio and qpmad,mrsp,Humanoid Robot,,Research Platform,https://github.com/mrsp/whole_body_ik,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:ibm/watson-nao-robot,watson-nao-robot,Use a robot to answer queries on financial data by integrating with the IBM Watson Assistant service and IBM Watson Studio,IBM,Humanoid Robot,,Commercial Product,https://developer.ibm.com/patterns/robotic-calculations-and-inference-agent,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:ansh1113/humanoid-motion-planning,humanoid-motion-planning,"Whole-body motion planning for Unitree G1 humanoid in MuJoCo - ZMP preview control, A* footstep planning, MPC balance (49% energy reduction), RL locomotion, and Jacobian IK manipulation",ansh1113,Humanoid Robot,,Research Platform,https://github.com/ansh1113/humanoid-motion-planning,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:gokulp01/meta-qlearning-humanoid,meta-qlearning-humanoid,Meta QLearning experiments to optimize robot walking patterns ,gokulp01,Humanoid Robot,,Research Platform,https://github.com/gokulp01/meta-qlearning-humanoid,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:pal-robotics/talos_robot,talos_robot,,pal-robotics,Humanoid Robot,,Research Platform,https://github.com/pal-robotics/talos_robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:limxdynamics/tron2_openpi,tron2_openpi,"Deployment-focused fork of OpenPI for LimX TRON2 manipulation — pi0.5 policy serving, task fine-tuning, TRON2 transforms, and real-robot client examples.",limxdynamics,Humanoid Robot,,Commercial Product,https://limxdynamics.com,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:asig-x/manusglove,manusGlove,Linux ROS2 driver for manus glove,ASIG-X,Humanoid Robot,,Research Platform,https://github.com/ASIG-X/manusGlove,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:thmos2025/mos-9-open-source-humanoid-robot,MOS-9-Open-Source-Humanoid-Robot,"MOS9 open-source humanoid robot hub for RoboCup Kid-Size, connecting hardware, deployment, IPC, policy learning, retargeting, drivers, and simulation.",THMOS2025,Humanoid Robot,,Commercial Product,https://wegg111.github.io/mos9-website/en,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:jewel-nath/robot-niko,robot-niko,Robot niko with raspberry pi and python,jewel-nath,Humanoid Robot,,Research Platform,https://github.com/jewel-nath/robot-niko,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:marcdcls/coconuts,coconuts,"The CocoNuts project is an open-source humanoid robotics research platform. Its primary design philosophy is the minimization of leg inertia by concentrating mass near the root of the limbs, utilizing a combination of timing belts and parallel linkage mechanisms.",MarcDcls,Humanoid Robot,,Research Platform,https://github.com/MarcDcls/coconuts,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:wpi-humanoid-robotics-lab/tough,tough,Transportable Opensource UI for Generic Humanoids,WPI-Humanoid-Robotics-Lab,Humanoid Robot,,Research Platform,https://github.com/WPI-Humanoid-Robotics-Lab/tough,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:ouazzmoh/stable-humanoid,stable-humanoid,Benchmarking Tool for Model Predictive Control based stable walking for humanoid robot,ouazzmoh,Humanoid Robot,,Research Platform,https://github.com/ouazzmoh/stable-humanoid,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:zengury/manastone-diag,manastone-diag,"Offline fault diagnosis assistant for the AgiBot X2 Ultra humanoid: drop in a log package, get a three-round reviewed diagnosis. Rules + causal inference + LLM agent.",zengury,Humanoid Robot,,Commercial Product,https://pypi.org/project/manastone-diag,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Ahumanoid-robot+stars%3A%3E5,False
robot:petoicamp/opencat-quadruped-robot,OpenCat-Quadruped-Robot,"An open source quadruped robot pet framework for developing Boston Dynamics-style four-legged robots that are perfect for STEM, coding & robotics education, IoT robotics applications, AI-enhanced robotics application services, research, and DIY robotics kit development. ",PetoiCamp,Quadruped Robot,,Commercial Product,https://petoi.com,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:nate711/stanforddoggoproject,StanfordDoggoProject,"Stanford Doggo is an open source quadruped robot that jumps, flips, and trots!",Nate711,Quadruped Robot,,Research Platform,https://github.com/Nate711/StanfordDoggoProject,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:chvmp/champ,champ,MIT Cheetah I Implementation,chvmp,Quadruped Robot,,Research Platform,https://github.com/chvmp/champ,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:nicrusso7/rex-gym,rex-gym,OpenAI Gym environments for an open-source quadruped robot (SpotMicro),nicrusso7,Quadruped Robot,,Research Platform,https://github.com/nicrusso7/rex-gym,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:ethz-adrl/towr,towr,"A light-weight, Eigen-based C++ library for trajectory optimization for legged robots.",ethz-adrl,Quadruped Robot,,Commercial Product,http://wiki.ros.org/towr,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:silvery107/rl-mpc-locomotion,rl-mpc-locomotion,Deep RL for MPC control of Quadruped Robot Locomotion,silvery107,Quadruped Robot,,Commercial Product,https://docs.google.com/presentation/d/18bznpYrkCPnhCisySPDz18hvL3Ytere7JiJEbdLvpgU/edit?usp=sharing,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:lecar-lab/dial-mpc,dial-mpc,"Official implementation for the paper ""Full-Order Sampling-Based MPC for Torque-Level Locomotion Control via Diffusion-Style Annealing"". DIAL-MPC is a novel sampling-based MPC framework for legged robot full-order torque-level control with both precision and agility in a training-free manner.",LeCAR-Lab,Humanoid Robot,,Commercial Product,https://lecar-lab.github.io/dial-mpc,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:openquadruped/spot_mini_mini,spot_mini_mini,Dynamics and Domain Randomized Gait Modulation with Bezier Curves for Sim-to-Real Legged Locomotion.,OpenQuadruped,Quadruped Robot,,Commercial Product,https://moribots.github.io/project/spot-mini-mini,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:real-stanford/umi-on-legs,umi-on-legs,UMI on Legs: Making Manipulation Policies Mobile with Manipulation-Centric Whole-body Controllers,real-stanford,Quadruped Robot,,Commercial Product,https://umi-on-legs.github.io,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:adham-elarabawy/open-quadruped,open-quadruped,An open-source 3D-printed quadrupedal robot. Intuitive gait generation through 12-DOF Bezier Curves. Full 6-axis body pose manipulation. Custom 3DOF Leg Inverse Kinematics Model accounting for offsets.,adham-elarabawy,Quadruped Robot,,Commercial Product,https://adhamelarabawy.com,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:petoicamp/opencatesp32-quadruped-robot,OpenCatEsp32-Quadruped-Robot,"An ESP32-based open source quadruped robot pet framework for developing Boston Dynamics-style four-legged robots that are perfect for STEM, coding & robotics education, IoT robotics applications, AI-enhanced robotics application services, research, and DIY robotics kit development.",PetoiCamp,Quadruped Robot,,Research Platform,https://github.com/PetoiCamp/OpenCatEsp32-Quadruped-Robot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:derek-th-wang/quadruped_ctrl,quadruped_ctrl,MIT mini cheetah quadruped robot simulated in pybullet environment using ros.,Derek-TH-Wang,Quadruped Robot,,Research Platform,https://github.com/Derek-TH-Wang/quadruped_ctrl,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:botbotrobotics/botbrain,BotBrain,"Modular open-source brain for legged robots. Web UI for teleops, autonomous navigation, mapping & monitoring. 3D-printable hardware that runs on ROS2.",botbotrobotics,Humanoid Robot,,Commercial Product,https://botbot.bot,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:tny-robotics/tny-360,TNY-360,TNY - 360 Robot source code and 3d models,TNY-Robotics,Quadruped Robot,,Commercial Product,https://tny-robotics.com/tny-360,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:aaedmusa/tops,TOPS,"TOPS (Traverser of Planar Surfaces) or ""SPOT"" backwards is a 3D printed Open Source quadrupedal robot",aaedmusa,Quadruped Robot,,Commercial Product,https://aaedmusa.com/projects/tops,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:chvmp/robots,robots,Collection of quadrupedal robots configured to work in CHAMP development framework,chvmp,Quadruped Robot,,Research Platform,https://github.com/chvmp/robots,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:ai4ce/citywalker,CityWalker,[CVPR2025] CityWalker: Learning Embodied Urban Navigation from Web-Scale Videos,ai4ce,Quadruped Robot,,Commercial Product,https://ai4ce.github.io/CityWalker,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:reubenstr/electropup,ElectroPup,DIY 3D printed quadruped robot.,reubenstr,Quadruped Robot,,Research Platform,https://github.com/reubenstr/ElectroPup,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:chinmaynehate/venom,Venom,All Terrain Autonomous Quadruped,chinmaynehate,Quadruped Robot,,Research Platform,https://github.com/chinmaynehate/Venom,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:jerome-graves/yertle,yertle,A 3D Printed Quadrupedal Robot for Locomotion Research. :turtle: ,Jerome-Graves,Quadruped Robot,,Research Platform,https://github.com/Jerome-Graves/yertle,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:sovgvd/esp32-robot-dog-code,esp32-robot-dog-code,"WIP: ESP32 powered robot dog, quadruped robot. This is just code, hardware in the other repositories",SovGVD,Quadruped Robot,,Research Platform,https://github.com/SovGVD/esp32-robot-dog-code,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:nimazareian/quadruped-rl-locomotion,quadruped-rl-locomotion,Train quadruped locomotion using reinforcement learning in Mujoco,nimazareian,Quadruped Robot,,Research Platform,https://github.com/nimazareian/quadruped-rl-locomotion,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:elijah-waichong-chan/go2-convex-mpc,go2-convex-mpc,A convex MPC locomotion controller implemented in MuJoCo with Unitree Go2 quadruped,elijah-waichong-chan,Quadruped Robot,,Research Platform,https://github.com/elijah-waichong-chan/go2-convex-mpc,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:iit-dlslab/basic-locomotion-isaaclab,basic-locomotion-isaaclab,"An IsaacLab DirectEnv for basic quadrupedal locomotion tasks, with support for multiple quadruped robots, sim-to-sim, and sim-to-real pipelines",iit-DLSLab,Quadruped Robot,,Research Platform,https://github.com/iit-DLSLab/basic-locomotion-isaaclab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:popi-mkx3/popi_project,popi_project,"Here is everything you need to know about POPI, our open-source quadruped robot. If you want to check the videos we will release about it, you can have a look at our YouTube channel.",popi-mkx3,Quadruped Robot,,Commercial Product,https://youtube.com/channel/UCaCy-1MX6SoqdtjZH4uU_TA,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:mujocolab/mjlab_playground,mjlab_playground,A collection of tasks built on mjlab,mujocolab,Humanoid Robot,,Commercial Product,https://mujocolab.github.io/mjlab,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
robot:danisotelo/qm_door,qm_door,:dog2: Quadruped manipulator planner and controller using MPC and WBC based on OCS2: Unitree AlienGo + Z1,danisotelo,Quadruped Robot,,Commercial Product,https://danielsoteloaguirre.com/projects/nonlinear-mpc-for-quadruped-manipulator,GitHub Robotics Search,https://api.github.com/search/repositories?q=topic%3Aquadruped+stars%3A%3E5,False
