Record ID,Repository Name,Description,Repository URL,Primary Language,Stars,Forks,License,Source,Source URL
repository:eigent-ai/eigent,eigent,Eigent: The Open Source Cowork Desktop - Local and Free Alternative to Claude Cowork and Codex,https://github.com/eigent-ai/eigent,TypeScript,15301,1827,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:microsoft/agent-framework,agent-framework,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.",https://aka.ms/agent-framework,Python,13560,2333,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:aden-hive/hive,hive,Multi-Agent Harness for Production AI,https://github.com/aden-hive/hive,Python,11050,5664,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:omnigent-ai/omnigent,omnigent,"Omnigent is an open-source AI agent framework and meta-harness: orchestrate Claude Code, Codex, Cursor, Pi, and custom agents — swap harnesses without rewriting, enforce policies and sandboxing, and collaborate in real time from any device.",https://omnigent.ai,Python,10030,1581,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:evomap/evolver,evolver,"The GEP-powered self-evolving engine for AI agents. Auditable evolution with Genes, Capsules, and Events. | evomap.ai",https://github.com/evomap/evolver,JavaScript,9094,845,GPL-3.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:miromindai/mirothinker,MiroThinker,"MiroThinker is a deep research agent optimized for complex research and prediction tasks. Our latest models, MiroThinker-1.7, achieves 74.0 and 75.3 on the BrowseComp and BrowseComp Zh, respectively.",https://github.com/miromindai/mirothinker,Python,8405,646,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:upsonic/upsonic,Upsonic,Build autonomous AI agents in Python.,https://docs.upsonic.ai,Python,7956,744,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:strands-agents/harness-sdk,harness-sdk,"Build an agent harness and control it end-to-end. Open-source SDK for production AI agents in Python & TypeScript - any model, any cloud.",http://strandsagents.com,Python,7307,1149,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:open-multi-agent/open-multi-agent,open-multi-agent,"Self-hosted TypeScript agent runtime with durable approvals and verifiable run records. Own it, approve it, audit it.",https://open-multi-agent.com/go/repo,TypeScript,6934,2432,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:crestalnetwork/intentkit,intentkit,"IntentKit is an open-source, self-hosted cloud agent cluster that manages a collaborative team of AI agents for you.",https://intentcat.com/docs,Python,6511,711,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:microsoft/agent-governance-toolkit,agent-governance-toolkit,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.",https://github.com/microsoft/agent-governance-toolkit,Python,6276,1119,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:rllm-org/rllm,rllm,Democratizing Reinforcement Learning for LLMs,https://docs.rllm-project.com,Python,5826,617,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:agentscope-ai/agentscope-java,agentscope-java,"Build distributed, production-grade, long-running agents.",https://java.agentscope.io,Java,5656,1373,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:iflytek/skillhub,skillhub,"Self-hosted, open-source agent skill registry for enterprises. Publish & version skill packages, govern with RBAC and audit logs, deploy   on-premise with Docker or Kubernetes.",https://github.com/iflytek/skillhub,Java,5138,839,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:ag2ai/ag2,ag2,AG2 (formerly AutoGen): The Open-Source AgentOS.Join us at: https://discord.gg/sNGSwQME3x,https://ag2.ai,Python,4935,719,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:tencentcloudadp/youtu-agent,youtu-agent,A simple yet powerful agent framework that delivers with open-source models,https://tencentcloudadp.github.io/youtu-agent,Python,4611,481,NOASSERTION,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:kungfu-systems/kungfu,kungfu,"Your agents don’t hand off the work. Kungfu keeps the same Work moving across Codex, Claude, OpenCode, and your own execution surface.",https://kungfu.tech,C++,4514,1289,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:evalstate/fast-agent,fast-agent,"Code, Build and Evaluate agents - excellent Model and Skills/MCP/ACP/A2A Support",https://fast-agent.ai,Python,3920,444,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:foryourhealth111-pixel/vibe-skills,Vibe-Skills,"Intelligent Skill routing and workflow orchestration for AI agents — +21.12 pp reward, −29.6% tokens on SkillsBench with DeepSeekV4Flash-VE.",https://github.com/foryourhealth111-pixel/vibe-skills,Python,3324,287,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:miromindai/miroflow,MiroFlow,"🏆 Top-1 on 5+ benchmarks | Web UI | Supports MiroThinker, Claude, Kimi, OpenAI",https://miromindai.github.io/MiroFlow,Python,3113,323,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:open-gitagent/opengap,opengap,"A framework-agnostic, git-native standard for defining AI agents",https://github.com/open-gitagent/opengap,TypeScript,2943,347,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:langfengq/verl-agent,verl-agent,"verl-agent is an extension of veRL, designed for training LLM/VLM agents via RL. verl-agent is also the official code for paper ""Group-in-Group Policy Optimization for LLM Agent Training""",https://huggingface.co/papers/2505.10978,Python,2313,222,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:lioensky/vcptoolbox,VCPToolBox,VCP 部署在 AI 模型 API 与前端应用之间，是面向AGI OS开发和探索的工业级基建示范项目。通过统一指令协议、多层级持久化记忆、分布式插件引擎及多 Agent 协作框架，将原本“无状态、无记忆、无工具调用能力”的大语言模型，彻底改造成拥有永久自我意识、物理世界操作权及群体协作智能的完整智能体系统。,https://vcptoolbox.com,JavaScript,2302,377,NOASSERTION,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:gammalabtechnologies/harmonist,harmonist,"Portable AI agent orchestration with mechanical protocol enforcement. 186 agents, zero runtime dependencies.",https://github.com/gammalabtechnologies/harmonist,Python,2256,206,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:cortexkit/magic-context,magic-context,"Unbounded context. Memory that manages itself. One session, for life. The hippocampus for coding agents, part of CortexKit.",https://github.com/cortexkit/magic-context,TypeScript,2131,112,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:msoedov/agentic_security,agentic_security,Agentic LLM Vulnerability Scanner / AI red teaming kit 🧪,https://github.com/msoedov/agentic_security,Python,2001,288,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:yomorun/yomo,yomo,🦖 Serverless AI Agent Framework with Geo-distributed Edge AI Infra.,https://yomo.run,Rust,1925,147,,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:vstorm-co/full-stack-ai-agent-template,full-stack-ai-agent-template,"Full-stack AI app generator — FastAPI + Next.js with AI Agents, RAG, streaming, auth, and 20+ integrations out of the box.",https://vstorm-co.github.io/full-stack-ai-agent-template,Python,1898,375,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:agentjido/jido,jido,"🤖 Autonomous agent framework for Elixir. Built for distributed, autonomous behavior and dynamic workflows.",https://jido.run,Elixir,1860,118,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:trpc-group/trpc-agent-go,trpc-agent-go,"A Go framework for building production agent systems with graph workflows, tools, memory, A2A, AG-UI, MCP, evaluation, and observability.",https://trpc-group.github.io/trpc-agent-go,Go,1800,309,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:core-mate/opengui,OpenGUI,"OpenGUI is an Android GUI agent framework for phone-use AI that can see, plan, and operate real mobile apps through the GUI.",https://opengui.ai,TypeScript,1797,111,NOASSERTION,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:shenseanchen/waku-agent,waku-agent,"Waku Waku! Waku Agent is a local-first AI agent harness you actually own, including loop, memory, eval, all in code built to stay legible as it grows.",https://waku.one,Python,1774,353,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:agentera/agently,Agently,[GenAI Application Development Framework]  🚀 Build GenAI application quick and easy 💬 Easy to interact with GenAI agent in code using structure data and chained-calls syntax 🧩 Use Event-Driven Flow *TriggerFlow* to manage complex GenAI working logic 🔀 Switch to any model without rewrite application code,https://github.com/agentera/agently,Python,1652,181,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:codeaholicguy/ai-devkit,ai-devkit,The control plane for AI coding agents.,https://ai-devkit.com,TypeScript,1629,252,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:langwatch/better-agents,better-agents,"Standards for building agents, better",https://github.com/langwatch/better-agents,TypeScript,1557,150,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:video-db/director,Director,AI video agents framework for next-gen video interactions and workflows.,https://github.com/video-db/director,Python,1534,253,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:harnessrouter/harnessrouter,harnessrouter,"HarnessRouter Community Edition: the self-hosted, Apache-2.0 edition of the unified interface for agent harnesses. Run Codex, Claude Code, Hermes, PI, DSH, and more through one API, with sessions, streaming, files, cancellation, and failure handling. Implements the Unified Harness Protocol (UHP), an open standard. Your keys, your infrastructure.",https://harnessrouter.ai,Python,1454,141,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:inkeep/agents,agents,Create AI Agents in a No-Code Visual Builder or TypeScript SDK with full 2-way sync. For shipping AI assistants and multi-agent AI workflows.,https://github.com/inkeep/agents,TypeScript,1427,177,NOASSERTION,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:thousandbirdsinc/chidori,chidori,"The agent framework where every run is durable, replayable, and resumable by default.",https://thousandbirdsinc.github.io/chidori,Rust,1364,59,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:team-commonly/commonly,commonly,"Open-source room for humans + cross-vendor AI agents. Every agent gets its own name, memory, skills, and workstation. Any runtime, your infra — no per-agent fees.",https://commonly.me,TypeScript,1342,186,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:smythos/sre,sre,"The SmythOS Runtime Environment (SRE) is an open-source, cloud-native runtime for agentic AI. Secure, modular, and production-ready, it lets developers build, run, and manage intelligent agents across local, cloud, and edge environments.",https://github.com/smythos/sre,TypeScript,1293,203,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:kellyvv/phoneclaw,PhoneClaw,"PhoneClaw turns phones into local AI agent runtimes with on-device models, native mobile Skills, LiveLand, and optional Mac Gateway inference.",https://kellyvv.github.io/PhoneClaw,Swift,1252,167,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:inclusionai/aworld,AWorld,"Search, understand, reproduce, and improve an idea with ease",https://github.com/inclusionai/aworld,Python,1234,129,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:wanxingai/lightagent,LightAgent,"LightAgent: Lightweight Python framework for OpenAI-compatible agents with tools, memory, guardrails, tracing, lifecycle hooks, multi-agent collaboration, and workflows.",https://github.com/wanxingai/lightagent,Python,1220,173,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:clacky-ai/openclacky,openclacky,The most Token-efficient open-source AI Agent,https://openclacky.com,Ruby,1191,103,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:azure/gpt-rag,GPT-RAG,"Enterprise-grade accelerator for agentic RAG on Azure. Built on Microsoft Foundry with Foundry IQ as the default retrieval backend, Microsoft Agent Framework orchestration, Zero-Trust architecture and IaC.",https://aka.ms/gpt-rag,Python,1177,321,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:rath-team/openrath,OpenRath,"An open-source, PyTorch-like runtime for dynamic multi-agent and multi-session workflows.",https://openrath.com,Python,1136,59,BSD-3-Clause,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:agentlas-ai/agentlas-os,Agentlas-OS,"Agent OS: keep specialist agents in a hub, spin up a temporary orchestrator per task. Local-first, works with any model.",https://agentlas.cloud,Python,1116,103,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:zju-real/hugagentos,HugAgentOS,HugAgentOS: The Self-Evolving AgentOS for Ontology-Grounded Trustworthy Reasoning,https://github.com/zju-real/hugagentos,Python,1103,62,NOASSERTION,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:vstorm-co/pydantic-deepagents,pydantic-deepagents,"Open-source, self-hosted Claude Code - a terminal AI assistant and the Python framework behind it. Tool-calling, sandboxed execution, multi-agent teams, skills, checkpoints, unlimited context - on Pydantic AI, any model.",https://vstorm-co.github.io/pydantic-deepagents,Python,1066,133,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:human-agent-society/coral,CORAL,"Open-source autoresearch powered by autonomous coding agents. Run Claude Code, OpenCode, and Codex with grading, shared knowledge, and multi-agent evolution. Accepted at COLM 2026.",https://coral.compounding-intelligence.ai,Python,996,126,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Aagent-framework+stars%3A%3E100
repository:rasahq/rasa,rasa,"💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants",https://rasa.com/docs/rasa,Python,21326,4911,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:davisking/dlib,dlib,A toolkit for making real world machine learning and data analysis applications in C++,http://dlib.net,C++,14444,3438,BSL-1.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:mlpack/mlpack,mlpack,"mlpack: a fast, header-only C++ machine learning library",https://mlpack.org,C++,5710,1721,NOASSERTION,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:snipsco/snips-nlu,snips-nlu,Snips Python library to extract meaning from text,https://snips-nlu.readthedocs.io,Python,3973,502,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:dreamquark-ai/tabnet,tabnet,PyTorch implementation of TabNet paper : https://arxiv.org/pdf/1908.07442.pdf,https://dreamquark-ai.github.io/tabnet,Python,2955,516,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:explosion/thinc,thinc,"🔮 A refreshing functional take on deep learning, compatible with your favorite libraries",https://thinc.ai,Python,2890,294,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:tensorflow/quantum,quantum,An open-source Python framework for hybrid quantum-classical machine learning.,https://tensorflow.org/quantum,Python,2181,665,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:plasticityai/magnitude,magnitude,"A fast, efficient universal vector embedding utility package.",https://github.com/plasticityai/magnitude,Python,1673,123,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:jenly1314/mlkit,MLKit,🌝  MLKit是一个强大易用的工具包。通过ML Kit您可以很轻松的实现文字识别、条码识别、图像标记、人脸检测、对象检测等功能。,https://jenly1314.github.io/MLKit,Kotlin,1175,201,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:edwardraff/jsat,JSAT,"Java Statistical Analysis Tool, a Java library for Machine Learning ",https://github.com/edwardraff/jsat,Java,795,208,GPL-3.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:ntucllab/libact,libact,Pool-based active learning in Python,http://libact.readthedocs.org,Python,791,172,BSD-2-Clause,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:wcipriano/pretty-print-confusion-matrix,pretty-print-confusion-matrix,Confusion Matrix in Python: plot a pretty confusion matrix (like Matlab) in python using seaborn and matplotlib,https://github.com/wcipriano/pretty-print-confusion-matrix,Python,537,155,Apache-2.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:reclist/reclist,reclist,"Behavioral ""black-box"" testing for recommender systems",https://reclist.io,Python,477,24,MIT,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:jma127/pyltr,pyltr,Python learning to rank (LTR) toolkit,https://github.com/jma127/pyltr,Python,463,104,BSD-3-Clause,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:yzhao062/suod,SUOD,(MLSys' 21) An Acceleration System for Large-scare Unsupervised Heterogeneous Outlier Detection (Anomaly Detection) ,https://github.com/yzhao062/suod,Python,395,46,BSD-2-Clause,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:shawnwun/nndial,NNDIAL,NNDial is an open source toolkit for building end-to-end trainable task-oriented dialogue models. It is released by Tsung-Hsien (Shawn) Wen from Cambridge Dialogue Systems Group under Apache License 2.0.,https://github.com/shawnwun/nndial,Python,353,101,NOASSERTION,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
repository:sherpa-ai/sherpa,sherpa,"Hyperparameter optimization that enables researchers to experiment, visualize, and scale quickly.",http://parameter-sherpa.readthedocs.io,JavaScript,345,52,GPL-3.0,GitHub API (Repositories Adapter),https://api.github.com/search/repositories?q=topic%3Amachine-learning-library+stars%3A%3E200
