id,entity_type,name,description,official_url,repository_url,provider,model_family,architecture,parameter_count,context_length,modalities,license,open_weights,source_name,source_url,website_status,logo_status,quality_score,updated_at
model:hf:anthropic--claude-fable-5:batch,MODEL,Anthropic: Claude Fable 5 (batch),"Claude Fable 5 is a Mythos-class model from Anthropic, built for autonomous knowledge work and coding. It supports text, image, and file inputs with text output, with reasoning support and...",https://openrouter.ai/models/anthropic/claude-fable-5:batch,https://openrouter.ai/models/anthropic/claude-fable-5:batch,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:nvidia--nemotron-3.5-content-safety,MODEL,NVIDIA: Nemotron 3.5 Content Safety,"NVIDIA Nemotron 3.5 Content Safety is a compact 4B-parameter multimodal guardrail model from NVIDIA, fine-tuned from Google Gemma-3-4B. It moderates both inputs to and responses from LLMs and VLMs, accepting...",https://openrouter.ai/models/nvidia/nemotron-3.5-content-safety,https://openrouter.ai/models/nvidia/nemotron-3.5-content-safety,Nvidia,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:nvidia--nemotron-3.5-content-safety:free,MODEL,NVIDIA: Nemotron 3.5 Content Safety (free),"NVIDIA Nemotron 3.5 Content Safety is a compact 4B-parameter multimodal guardrail model from NVIDIA, fine-tuned from Google Gemma-3-4B. It moderates both inputs to and responses from LLMs and VLMs, accepting...",https://openrouter.ai/models/nvidia/nemotron-3.5-content-safety:free,https://openrouter.ai/models/nvidia/nemotron-3.5-content-safety:free,Nvidia,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:nvidia--nemotron-3-ultra-550b-a55b,MODEL,NVIDIA: Nemotron 3 Ultra,"NVIDIA Nemotron 3 Ultra is an open frontier-reasoning and orchestration model from NVIDIA, with 55B active parameters out of 550B total (MoE). Built on a hybrid Transformer-Mamba mixture-of-experts architecture, it...",https://openrouter.ai/models/nvidia/nemotron-3-ultra-550b-a55b,https://openrouter.ai/models/nvidia/nemotron-3-ultra-550b-a55b,Nvidia,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:nvidia--nemotron-3-ultra-550b-a55b:free,MODEL,NVIDIA: Nemotron 3 Ultra (free),"NVIDIA Nemotron 3 Ultra is an open frontier-reasoning and orchestration model from NVIDIA, with 55B active parameters out of 550B total (MoE). Built on a hybrid Transformer-Mamba mixture-of-experts architecture, it...",https://openrouter.ai/models/nvidia/nemotron-3-ultra-550b-a55b:free,https://openrouter.ai/models/nvidia/nemotron-3-ultra-550b-a55b:free,Nvidia,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:qwen--qwen3.7-plus,MODEL,Qwen: Qwen3.7 Plus,"Qwen3.7-Plus is a cost-effective model in Alibaba's Qwen3.7 series. It supports text and image input with text output, building on the series' text capabilities with a comprehensive upgrade to its...",https://openrouter.ai/models/qwen/qwen3.7-plus,https://openrouter.ai/models/qwen/qwen3.7-plus,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:minimax--minimax-m3,MODEL,MiniMax: MiniMax M3,"MiniMax-M3 is a multimodal foundation model from MiniMax. It supports text, image, and video inputs with text output, a 1M-token context window, and is suited for long-horizon agentic work, coding,...",https://openrouter.ai/models/minimax/minimax-m3,https://openrouter.ai/models/minimax/minimax-m3,Minimax,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:minimax--minimax-m3:batch,MODEL,MiniMax: MiniMax M3 (batch),"MiniMax-M3 is a multimodal foundation model from MiniMax. It supports text, image, and video inputs with text output, a 1M-token context window, and is suited for long-horizon agentic work, coding,...",https://openrouter.ai/models/minimax/minimax-m3:batch,https://openrouter.ai/models/minimax/minimax-m3:batch,Minimax,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.431385+00:00
model:hf:stepfun--step-3.7-flash,MODEL,StepFun: Step 3.7 Flash,"Step 3.7 Flash is StepFun's latest high-efficiency multimodal Mixture-of-Experts model. It pairs a 196B-parameter language backbone with a vision encoder for native image and video understanding, activating roughly 11B parameters...",https://openrouter.ai/models/stepfun/step-3.7-flash,https://openrouter.ai/models/stepfun/step-3.7-flash,Stepfun,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:anthropic--claude-opus-4.8,MODEL,Anthropic: Claude Opus 4.8,"Claude Opus 4.8 is Anthropic's most capable generally available model in the Opus family. It supports text, image, and file inputs with text output, with reasoning support and a 1M-token...",https://openrouter.ai/models/anthropic/claude-opus-4.8,https://openrouter.ai/models/anthropic/claude-opus-4.8,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:anthropic--claude-opus-4.8:batch,MODEL,Anthropic: Claude Opus 4.8 (batch),"Claude Opus 4.8 is Anthropic's most capable generally available model in the Opus family. It supports text, image, and file inputs with text output, with reasoning support and a 1M-token...",https://openrouter.ai/models/anthropic/claude-opus-4.8:batch,https://openrouter.ai/models/anthropic/claude-opus-4.8:batch,Anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:qwen--qwen3.7-max,MODEL,Qwen: Qwen3.7 Max,"Qwen3.7-Max is the flagship model in Alibaba's Qwen3.7 series. It supports text input and output and is designed for agent-centric workloads, with particular strengths in coding, office and productivity tasks,...",https://openrouter.ai/models/qwen/qwen3.7-max,https://openrouter.ai/models/qwen/qwen3.7-max,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:x-ai--grok-build-0.1,MODEL,SpaceXAI: Grok Build 0.1,"Grok Build 0.1 is SpaceXAI’s fast coding model trained specifically for agentic software engineering workflows. It supports text and image inputs with text output, and is optimized for interactive coding...",https://openrouter.ai/models/x-ai/grok-build-0.1,https://openrouter.ai/models/x-ai/grok-build-0.1,X-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:google--gemini-3.5-flash,MODEL,Google: Gemini 3.5 Flash,"Gemini 3.5 Flash is Google's high-efficiency multimodal model, bringing near-Pro level coding and reasoning at Flash-tier cost and speed. It is highly optimized for coding proficiency and parallel agentic execution...",https://openrouter.ai/models/google/gemini-3.5-flash,https://openrouter.ai/models/google/gemini-3.5-flash,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:google--gemini-3.5-flash:batch,MODEL,Google: Gemini 3.5 Flash (batch),"Gemini 3.5 Flash is Google's high-efficiency multimodal model, bringing near-Pro level coding and reasoning at Flash-tier cost and speed. It is highly optimized for coding proficiency and parallel agentic execution...",https://openrouter.ai/models/google/gemini-3.5-flash:batch,https://openrouter.ai/models/google/gemini-3.5-flash:batch,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:perceptron--perceptron-mk1,MODEL,Perceptron: Perceptron Mk1,"Perceptron Mk1 (Mark One) is Perceptron's highest-quality vision-language model for video and embodied reasoning.** It accepts image and video inputs paired with natural language queries, and produces detailed visual understanding...",https://openrouter.ai/models/perceptron/perceptron-mk1,https://openrouter.ai/models/perceptron/perceptron-mk1,Perceptron,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:google--gemini-3.1-flash-lite,MODEL,Google: Gemini 3.1 Flash Lite,"Gemini 3.1 Flash Lite is Google’s GA high-efficiency multimodal model optimized for low-latency, high-volume workloads. It supports text, image, video, audio, and PDF inputs, and is designed for lightweight agentic...",https://openrouter.ai/models/google/gemini-3.1-flash-lite,https://openrouter.ai/models/google/gemini-3.1-flash-lite,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:google--gemini-3.1-flash-lite:batch,MODEL,Google: Gemini 3.1 Flash Lite (batch),"Gemini 3.1 Flash Lite is Google’s GA high-efficiency multimodal model optimized for low-latency, high-volume workloads. It supports text, image, video, audio, and PDF inputs, and is designed for lightweight agentic...",https://openrouter.ai/models/google/gemini-3.1-flash-lite:batch,https://openrouter.ai/models/google/gemini-3.1-flash-lite:batch,Google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:openai--gpt-chat-latest,MODEL,OpenAI: GPT Chat Latest,GPT Chat Latest points to OpenAI's stable API alias `chat-latest` that always resolves to the latest Instant chat model used in ChatGPT. As OpenAI rolls out new Instant model updates...,https://openrouter.ai/models/openai/gpt-chat-latest,https://openrouter.ai/models/openai/gpt-chat-latest,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:x-ai--grok-4.3,MODEL,SpaceXAI: Grok 4.3,"Grok 4.3 is a reasoning model from SpaceXAI. It accepts text and image inputs with text output, and is suited for agentic workflows, instruction-following tasks, and applications requiring high factual...",https://openrouter.ai/models/x-ai/grok-4.3,https://openrouter.ai/models/x-ai/grok-4.3,X-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:x-ai--grok-4.3:batch,MODEL,SpaceXAI: Grok 4.3 (batch),"Grok 4.3 is a reasoning model from SpaceXAI. It accepts text and image inputs with text output, and is suited for agentic workflows, instruction-following tasks, and applications requiring high factual...",https://openrouter.ai/models/x-ai/grok-4.3:batch,https://openrouter.ai/models/x-ai/grok-4.3:batch,X-ai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:mistralai--mistral-medium-3-5,MODEL,Mistral: Mistral Medium 3.5,"Mistral Medium 3.5 is a dense 128B instruction-following model from Mistral AI. It supports text and image inputs with text output, and is designed for agentic workflows, coding, and complex...",https://openrouter.ai/models/mistralai/mistral-medium-3-5,https://openrouter.ai/models/mistralai/mistral-medium-3-5,Mistralai,Mistral,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:mistralai--mistral-medium-3-5:batch,MODEL,Mistral: Mistral Medium 3.5 (batch),"Mistral Medium 3.5 is a dense 128B instruction-following model from Mistral AI. It supports text and image inputs with text output, and is designed for agentic workflows, coding, and complex...",https://openrouter.ai/models/mistralai/mistral-medium-3-5:batch,https://openrouter.ai/models/mistralai/mistral-medium-3-5:batch,Mistralai,Mistral,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:nvidia--nemotron-3-nano-omni-30b-a3b-reasoning:free,MODEL,NVIDIA: Nemotron 3 Nano Omni (free),"NVIDIA Nemotron™ 3 Nano Omni is a 30B-A3B open multimodal model designed to function as a perception and context sub-agent in enterprise agent systems. It accepts text, image, video, and...",https://openrouter.ai/models/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,https://openrouter.ai/models/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,Nvidia,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:~anthropic--claude-haiku-latest,MODEL,Anthropic: Claude Haiku Latest,This model always redirects to the latest model in the Claude Haiku family.,https://openrouter.ai/models/~anthropic/claude-haiku-latest,https://openrouter.ai/models/~anthropic/claude-haiku-latest,~anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:~openai--gpt-mini-latest,MODEL,OpenAI: GPT Mini Latest,This model always redirects to the latest model in the GPT Mini family.,https://openrouter.ai/models/~openai/gpt-mini-latest,https://openrouter.ai/models/~openai/gpt-mini-latest,~openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:~google--gemini-pro-latest,MODEL,Google: Gemini Pro Latest,This model always redirects to the latest model in the Gemini Pro family.,https://openrouter.ai/models/~google/gemini-pro-latest,https://openrouter.ai/models/~google/gemini-pro-latest,~google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:~moonshotai--kimi-latest,MODEL,MoonshotAI: Kimi Latest,This model always redirects to the latest model in the Kimi family.,https://openrouter.ai/models/~moonshotai/kimi-latest,https://openrouter.ai/models/~moonshotai/kimi-latest,~moonshotai,,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:~google--gemini-flash-latest,MODEL,Google: Gemini Flash Latest,This model always redirects to the latest model in the Gemini Flash family.,https://openrouter.ai/models/~google/gemini-flash-latest,https://openrouter.ai/models/~google/gemini-flash-latest,~google,Gemini,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:~anthropic--claude-sonnet-latest,MODEL,Anthropic: Claude Sonnet Latest,This model always redirects to the latest model in the Claude Sonnet family.,https://openrouter.ai/models/~anthropic/claude-sonnet-latest,https://openrouter.ai/models/~anthropic/claude-sonnet-latest,~anthropic,Claude,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:qwen--qwen3.5-plus-20260420,MODEL,Qwen: Qwen3.5 Plus 2026-04-20,"Qwen3.5 Plus (April 2026) is a large-scale multimodal language model from Alibaba. It accepts text, image, and video input and produces text output, with a 1M token context window. This...",https://openrouter.ai/models/qwen/qwen3.5-plus-20260420,https://openrouter.ai/models/qwen/qwen3.5-plus-20260420,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:qwen--qwen3.6-flash,MODEL,Qwen: Qwen3.6 Flash,"Qwen3.6 Flash is a fast, efficient language model from Alibaba's Qwen 3.6 series. It supports text, image, and video input with a 1M token context window. Tiered pricing kicks in...",https://openrouter.ai/models/qwen/qwen3.6-flash,https://openrouter.ai/models/qwen/qwen3.6-flash,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:qwen--qwen3.6-35b-a3b,MODEL,Qwen: Qwen3.6 35B A3B,Qwen3.6-35B-A3B is an open-weight multimodal model from Alibaba Cloud with 35 billion total parameters and 3 billion active parameters per token. It uses a hybrid sparse mixture-of-experts architecture combining Gated...,https://openrouter.ai/models/qwen/qwen3.6-35b-a3b,https://openrouter.ai/models/qwen/qwen3.6-35b-a3b,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:qwen--qwen3.6-max-preview,MODEL,Qwen: Qwen3.6 Max Preview,"Qwen3.6-Max-Preview is a proprietary frontier model from Alibaba Cloud built on a sparse mixture-of-experts architecture with approximately 1 trillion total parameters. It is optimized for agentic coding, tool use, and...",https://openrouter.ai/models/qwen/qwen3.6-max-preview,https://openrouter.ai/models/qwen/qwen3.6-max-preview,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:qwen--qwen3.6-27b,MODEL,Qwen: Qwen3.6 27B,"Qwen3.6 27B is a dense 27-billion-parameter language model from the Qwen Team at Alibaba, released in April 2026. It features hybrid multimodal capabilities — accepting text, image, and video inputs...",https://openrouter.ai/models/qwen/qwen3.6-27b,https://openrouter.ai/models/qwen/qwen3.6-27b,Qwen,Qwen,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:openai--gpt-5.5-pro,MODEL,OpenAI: GPT-5.5 Pro,"GPT-5.5 Pro is OpenAI’s high-capability model optimized for deep reasoning and accuracy on complex, high-stakes workloads. It features a 1M+ token context window (922K input, 128K output) with support for...",https://openrouter.ai/models/openai/gpt-5.5-pro,https://openrouter.ai/models/openai/gpt-5.5-pro,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:openai--gpt-5.5-pro:batch,MODEL,OpenAI: GPT-5.5 Pro (batch),"GPT-5.5 Pro is OpenAI’s high-capability model optimized for deep reasoning and accuracy on complex, high-stakes workloads. It features a 1M+ token context window (922K input, 128K output) with support for...",https://openrouter.ai/models/openai/gpt-5.5-pro:batch,https://openrouter.ai/models/openai/gpt-5.5-pro:batch,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:openai--gpt-5.5,MODEL,OpenAI: GPT-5.5,"GPT-5.5 is OpenAI’s frontier model designed for complex professional workloads, building on GPT-5.4 with stronger reasoning, higher reliability, and improved token efficiency on hard tasks. It features a 1M+ token...",https://openrouter.ai/models/openai/gpt-5.5,https://openrouter.ai/models/openai/gpt-5.5,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:openai--gpt-5.5:batch,MODEL,OpenAI: GPT-5.5 (batch),"GPT-5.5 is OpenAI’s frontier model designed for complex professional workloads, building on GPT-5.4 with stronger reasoning, higher reliability, and improved token efficiency on hard tasks. It features a 1M+ token...",https://openrouter.ai/models/openai/gpt-5.5:batch,https://openrouter.ai/models/openai/gpt-5.5:batch,Openai,GPT,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
model:hf:deepseek--deepseek-v4-pro,MODEL,DeepSeek: DeepSeek V4 Pro 0423,"DeepSeek V4 Pro is a large-scale Mixture-of-Experts model from DeepSeek with 1.6T total parameters and 49B activated parameters, supporting a 1M-token context window. It is designed for advanced reasoning, coding,...",https://openrouter.ai/models/deepseek/deepseek-v4-pro,https://openrouter.ai/models/deepseek/deepseek-v4-pro,Deepseek,DeepSeek,,,,,,True,OpenRouter API,https://openrouter.ai/api/v1/models,ACCESSIBLE_UNVERIFIED,UNVERIFIED,0.8,2026-09-17T12:10:28.432899+00:00
